longitude,latitude,name,markerinnerhtml
6.583278,47.448382,Au Peigne Fin,<p><b>Au Peigne Fin</b></p><p><a class='button' target='_blank' href='https://www.google.com/maps/?q=Au+Peigne+Fin 9+RUE+DU+MAGNY+L%27ISLE-SUR-LE-DOUBS'>Voir la devanture via Google Maps</a></p>
5.293546,46.552298,Planet' Hair,<p><b>Planet' Hair</b></p><p><a class='button' target='_blank' href='https://www.google.com/maps/?q=Planet%27+Hair 20+PL+DE+LA+MAIRIE+FRONTENAUD'>Voir la devanture via Google Maps</a></p>
3.293505,48.482957999999996,C Dans L'hair,<p><b>C Dans L'hair</b></p><p><a class='button' target='_blank' href='https://www.google.com/maps/?q=C+Dans+L%27hair 1+GRANDE+RUE+GOUAIX'>Voir la devanture via Google Maps</a></p>
6.279306,46.776445,Imagina'tif,<p><b>Imagina'tif</b></p><p><a class='button' target='_blank' href='https://www.google.com/maps/?q=Imagina%27tif 16+AV+DE+LA+GARE+LABERGEMENT-SAINTE-MARIE'>Voir la devanture via Google Maps</a></p>
2.879618,49.233061,La Nouvelle Hair,<p><b>La Nouvelle Hair</b></p><p><a class='button' target='_blank' href='https://www.google.com/maps/?q=La+Nouvelle+Hair 27+RUE+DE+VERDUN+CREPY-EN-VALOIS'>Voir la devanture via Google Maps</a></p>
-0.569379,48.744311,Nouvel'hair,<p><b>Nouvel'hair</b></p><p><a class='button' target='_blank' href='https://www.google.com/maps/?q=Nouvel%27hair 107+RUE+DE+DOMFRONT+FLERS'>Voir la devanture via Google Maps</a></p>
6.06571,47.2258,L'hair De Maud,<p><b>L'hair De Maud</b></p><p><a class='button' target='_blank' href='https://www.google.com/maps/?q=L%27hair+De+Maud 14+RUE+DU+COMMERCE+MORRE'>Voir la devanture via Google Maps</a></p>
-1.719273,47.978857,Capillotractee,<p><b>Capillotractee</b></p><p><a class='button' target='_blank' href='https://www.google.com/maps/?q=Capillotractee 3+RUELLE+DU+BARBIER+LAILLE'>Voir la devanture via Google Maps</a></p>
1.01038,49.288228,Hair'max,<p><b>Hair'max</b></p><p><a class='button' target='_blank' href='https://www.google.com/maps/?q=Hair%27max 7+RUE+PIERRE+RENAUDEL+ELBEUF'>Voir la devanture via Google Maps</a></p>
2.094983,48.62873,Creatif Coiffure,<p><b>Creatif Coiffure</b></p><p><a class='button' target='_blank' href='https://www.google.com/maps/?q=Creatif+Coiffure 4+RUE+DU+PRE+DE+LA+BARRIERE+FORGES-LES-BAINS'>Voir la devanture via Google Maps</a></p>
4.85754,44.926919,L'hair Marine,<p><b>L'hair Marine</b></p><p><a class='button' target='_blank' href='https://www.google.com/maps/?q=L%27hair+Marine 85+ALL+DU+GRAND+PAGE+GUILHERAND-GRANGES'>Voir la devanture via Google Maps</a></p>
6.078672,43.238162,Evolutif,<p><b>Evolutif</b></p><p><a class='button' target='_blank' href='https://www.google.com/maps/?q=Evolutif 1+BD+GAMBETTA+CUERS'>Voir la devanture via Google Maps</a></p>
2.124796,49.22756,Miss T Hair,<p><b>Miss T Hair</b></p><p><a class='button' target='_blank' href='https://www.google.com/maps/?q=Miss+T+Hair 64+AV+DES+DROITS+DE+L+HOMME+MERU'>Voir la devanture via Google Maps</a></p>
2.390767,49.007749,Coupe Du Monde,<p><b>Coupe Du Monde</b></p><p><a class='button' target='_blank' href='https://www.google.com/maps/?q=Coupe+Du+Monde 17+RUE+GAMBETTA+VILLIERS-LE-BEL'>Voir la devanture via Google Maps</a></p>
0.867091,49.477944,L'univ'hair De Karine Coiffure,<p><b>L'univ'hair De Karine Coiffure</b></p><p><a class='button' target='_blank' href='https://www.google.com/maps/?q=L%27univ%27hair+De+Karine+Coiffure 196+RUE+DU+PARC+DUCLAIR'>Voir la devanture via Google Maps</a></p>
-0.322861,45.691347,Crea'tif Coiffure,<p><b>Crea'tif Coiffure</b></p><p><a class='button' target='_blank' href='https://www.google.com/maps/?q=Crea%27tif+Coiffure 66+AV+VICTOR+HUGO+COGNAC'>Voir la devanture via Google Maps</a></p>
-1.950187,47.043652,L'art De Pl'hair,<p><b>L'art De Pl'hair</b></p><p><a class='button' target='_blank' href='https://www.google.com/maps/?q=L%27art+De+Pl%27hair 11+RUE+DU+CHATEAU+GAILLARD+VILLENEUVE-EN-RETZ'>Voir la devanture via Google Maps</a></p>
0.059372,43.245418,Deux Meches Avec Vous,<p><b>Deux Meches Avec Vous</b></p><p><a class='button' target='_blank' href='https://www.google.com/maps/?q=Deux+Meches+Avec+Vous 59+RUE+DU+MAQUIS+DE+SOMBRUN+TARBES'>Voir la devanture via Google Maps</a></p>
2.640419,50.640383,Tif'annie,<p><b>Tif'annie</b></p><p><a class='button' target='_blank' href='https://www.google.com/maps/?q=Tif%27annie 45+RUE+DU+GENERAL+DE+GAULLE+MERVILLE'>Voir la devanture via Google Maps</a></p>
-0.8259,45.961442,Exos'tif,<p><b>Exos'tif</b></p><p><a class='button' target='_blank' href='https://www.google.com/maps/?q=Exos%27tif 82+GR+GRAND+RUE+LUSSANT'>Voir la devanture via Google Maps</a></p>
6.360298,49.44288,L'hair Du Temps,<p><b>L'hair Du Temps</b></p><p><a class='button' target='_blank' href='https://www.google.com/maps/?q=L%27hair+Du+Temps 6+QUAI+DES+DUCS+DE+LORRAINE+SIERCK-LES-BAINS'>Voir la devanture via Google Maps</a></p>
2.966797,43.288779,Un P'tit Hair,<p><b>Un P'tit Hair</b></p><p><a class='button' target='_blank' href='https://www.google.com/maps/?q=Un+P%27tit+Hair 1+IMP+MONTAIGNE+OUVEILLAN'>Voir la devanture via Google Maps</a></p>
2.370216,49.089275,Artis'tifs,<p><b>Artis'tifs</b></p><p><a class='button' target='_blank' href='https://www.google.com/maps/?q=Artis%27tifs 33+RUE+DE+MIRVILLE+BELLOY-EN-FRANCE'>Voir la devanture via Google Maps</a></p>
2.516716,51.079084,Nouvel' Hair Creation,<p><b>Nouvel' Hair Creation</b></p><p><a class='button' target='_blank' href='https://www.google.com/maps/?q=Nouvel%27+Hair+Creation 704+BD+GEORGES+POMPIDOU+BRAY-DUNES'>Voir la devanture via Google Maps</a></p>
5.388058,43.301175,Les Coup'in,<p><b>Les Coup'in</b></p><p><a class='button' target='_blank' href='https://www.google.com/maps/?q=Les+Coup%27in 26+BD+LONGCHAMP+MARSEILLE+1'>Voir la devanture via Google Maps</a></p>
6.099301,48.605631,Atelier Imagin'hair,<p><b>Atelier Imagin'hair</b></p><p><a class='button' target='_blank' href='https://www.google.com/maps/?q=Atelier+Imagin%27hair 16+RUE+JEAN+JAURES+PONT-SAINT-VINCENT'>Voir la devanture via Google Maps</a></p>
2.932882,45.0541,L'hair Du Temps,<p><b>L'hair Du Temps</b></p><p><a class='button' target='_blank' href='https://www.google.com/maps/?q=L%27hair+Du+Temps 3+RUE+DU+PLOMB+DU+CANTAL+VALUEJOLS'>Voir la devanture via Google Maps</a></p>
2.048784,50.806386,T'hair De Beaute,<p><b>T'hair De Beaute</b></p><p><a class='button' target='_blank' href='https://www.google.com/maps/?q=T%27hair+De+Beaute 8+PL+MAHAUT+D%27ARTOIS+TOURNEHEM-SUR-LA-HEM'>Voir la devanture via Google Maps</a></p>
7.45588,47.870971,Est'hair,<p><b>Est'hair</b></p><p><a class='button' target='_blank' href='https://www.google.com/maps/?q=Est%27hair 1+RUE+DE+ROGGENHOUSE+MUNCHHOUSE'>Voir la devanture via Google Maps</a></p>
2.644142,50.533265,En Tete A Tete,<p><b>En Tete A Tete</b></p><p><a class='button' target='_blank' href='https://www.google.com/maps/?q=En+Tete+A+Tete 239+PL+DU+MARECHAL+JOFFRE+BETHUNE'>Voir la devanture via Google Maps</a></p>
6.834515,47.462394,Il Est Tete Une Fois...,<p><b>Il Est Tete Une Fois...</b></p><p><a class='button' target='_blank' href='https://www.google.com/maps/?q=Il+Est+Tete+Une+Fois... 24+GRANDE+RUE+VALENTIGNEY'>Voir la devanture via Google Maps</a></p>
0.385361,43.123748,Sarl Tete A Tete,<p><b>Sarl Tete A Tete</b></p><p><a class='button' target='_blank' href='https://www.google.com/maps/?q=Sarl+Tete+A+Tete 134+RUE+JEAN+JACQUES+ROUSSEAU+LANNEMEZAN'>Voir la devanture via Google Maps</a></p>
-4.306351,48.375648,De Meche Avec Vous,<p><b>De Meche Avec Vous</b></p><p><a class='button' target='_blank' href='https://www.google.com/maps/?q=De+Meche+Avec+Vous 122+RUE+RENE+GOUBIN+LOPERHET'>Voir la devanture via Google Maps</a></p>
